schedule_list
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
0,101,24,10,0
1,103,24,10,0
2,105,24,10,0
0,4,25,10,0
101,105,25,10,0
3,1,26,10,0
104,2,26,10,0
4,100,26,10,0
105,101,26,10,0
102,103,26,10,0
104,0,27,10,0
105,2,27,10,0
1,3,27,10,0
102,100,27,10,0
4,103,27,10,0
102,0,30,10,0
1,100,30,10,0
103,104,30,10,0
102,2,31,10,0
4,3,31,10,0
105,1,1,11,0
104,4,1,11,0
105,0,2,11,0
101,1,2,11,0
102,3,2,11,0
103,4,2,11,0
100,104,2,11,0
101,0,3,11,0
105,2,3,11,0
102,3,3,11,0
103,100,3,11,0
1,104,3,11,0
101,2,4,11,0
100,102,4,11,0
2,0,7,11,0
101,3,7,11,0
103,102,7,11,0
104,3,9,11,0
100,101,9,11,0
103,105,9,11,0
100,2,10,11,0
3,4,10,11,0
103,101,10,11,0
1,102,10,11,0
104,105,10,11,0
0,100,13,11,0
4,101,13,11,0
103,0,14,11,0
4,1,14,11,0
3,102,14,11,0
100,105,14,11,0
100,3,15,11,0
2,101,15,11,0
104,1,16,11,0
103,3,16,11,0
0,4,16,11,0
101,102,16,11,0
2,105,16,11,0
2,0,17,11,0
103,1,17,11,0
104,102,17,11,0
4,105,17,11,0
3,103,20,11,0
2,1,21,11,0
3,100,21,11,0
105,0,22,11,0
101,4,22,11,0
100,103,22,11,0
102,104,22,11,0
2,3,23,11,0
103,100,23,11,0
0,101,23,11,0
4,102,23,11,0
1,104,23,11,0
105,0,24,11,0
4,2,24,11,0
3,101,24,11,0
1,102,24,11,0
104,103,24,11,0
105,2,25,11,0
0,3,27,11,0
2,100,27,11,0
4,103,27,11,0
101,104,27,11,0
0,1,28,11,0
104,3,28,11,0
1,4,29,11,0
102,101,29,11,0
0,105,29,11,0
2,1,30,11,0
4,3,30,11,0
103,100,30,11,0
104,102,30,11,0
101,105,30,11,0
3,0,1,12,0
101,2,1,12,0
105,4,1,12,0
100,103,1,12,0
102,104,1,12,0
101,0,2,12,0
103,4,2,12,0
3,102,3,12,0
2,101,4,12,0
3,102,4,12,0
104,4,4,12,0
4,2,5,12,0
102,1,6,12,0
104,105,6,12,0
102,1,7,12,0
0,100,7,12,0
3,101,7,12,0
